Страна,Год,Число студентов из РФ
Bahrain,2005,0
Bahrain,2006,0
Bahrain,2014,1
Bahrain,2015,2
Bahrain,2016,3
Bahrain,2017,5
Bahrain,2018,3
Bahrain,2019,3
Bahrain,2020,5
Bahrain,2021,4
Bahrain,2022,3
Bahrain,2023,3
Bahrain,2024,4
Bosnia and Herzegovina,2013,4
Bosnia and Herzegovina,2014,4
Bosnia and Herzegovina,2015,6
Bosnia and Herzegovina,2016,6
Bosnia and Herzegovina,2017,4
Bosnia and Herzegovina,2018,9
Bosnia and Herzegovina,2019,6
Bosnia and Herzegovina,2020,5
Bosnia and Herzegovina,2021,7
Bosnia and Herzegovina,2022,11
Bosnia and Herzegovina,2023,21
Belarus,2002,0
Belarus,2003,0
Belarus,2004,0
Belarus,2005,0
Belarus,2006,0
Belarus,2007,0
Belarus,2008,2622
Belarus,2009,2546
Belarus,2010,2543
Belarus,2011,2596
Belarus,2012,2567
Belarus,2013,2061
Belarus,2014,2128
Belarus,2015,1953
Belarus,2016,1578
Belarus,2017,1647
Belarus,2018,1952
Belarus,2019,1796
Belarus,2020,1912
Belarus,2021,1902
Belarus,2022,1756
Belarus,2023,1804
Belarus,2024,1901
Brazil,2002,4
Brazil,2003,2
Brazil,2004,4
Brazil,2009,40
Brazil,2010,33
Brazil,2011,36
Brazil,2012,36
Brazil,2014,47
Brazil,2015,38
Brazil,2016,34
Brazil,2017,36
Brazil,2018,45
Brazil,2019,44
Brazil,2020,47
Brazil,2021,52
Brazil,2022,56
Brazil,2023,58
Brazil,2024,61
Barbados,2001,0
Barbados,2007,0
Barbados,2009,1
Barbados,2010,1
Barbados,2011,1
Brunei Darussalam,2000,0
Brunei Darussalam,2001,0
Brunei Darussalam,2004,0
Brunei Darussalam,2005,0
Brunei Darussalam,2006,0
Brunei Darussalam,2007,0
Brunei Darussalam,2008,0
Brunei Darussalam,2009,0
Brunei Darussalam,2010,0
Brunei Darussalam,2011,0
Brunei Darussalam,2012,1
Brunei Darussalam,2014,2
Brunei Darussalam,2015,2
Brunei Darussalam,2016,1
Brunei Darussalam,2017,1
Brunei Darussalam,2018,3
Brunei Darussalam,2019,2
Brunei Darussalam,2020,2
Brunei Darussalam,2023,0
Canada,2000,273
Canada,2001,288
Canada,2002,351
Canada,2003,384
Canada,2004,351
Canada,2005,348
Canada,2006,489
Canada,2007,472
Canada,2008,527
Canada,2009,504
Canada,2010,504
Canada,2011,663
Canada,2012,483
Canada,2013,1140
Canada,2014,1554
Canada,2015,1647
Canada,2016,1704
Canada,2017,1497
Canada,2018,1607
Canada,2019,1383
Canada,2020,1473
Canada,2021,1464
Canada,2022,1527
Canada,2023,1242
Switzerland,2000,327
Switzerland,2001,377
Switzerland,2002,458
Switzerland,2003,495
Switzerland,2004,571
Switzerland,2005,609
Switzerland,2006,573
Switzerland,2007,609
Switzerland,2008,638
Switzerland,2009,675
Switzerland,2010,719
Switzerland,2011,792
Switzerland,2012,873
Switzerland,2013,594
Switzerland,2014,1021
Switzerland,2015,1011
Switzerland,2016,975
Switzerland,2017,969
Switzerland,2018,934
Switzerland,2019,954
Switzerland,2020,979
Switzerland,2021,1026
Switzerland,2022,1003
Switzerland,2023,1025
Switzerland,2024,1048
Chile,2000,5
Chile,2002,10
Chile,2003,6
Chile,2005,8
Chile,2007,10
Chile,2008,15
Chile,2009,4
Chile,2010,14
Chile,2012,2
Chile,2013,1
Chile,2014,2
Chile,2015,6
Chile,2016,1
Chile,2017,6
Chile,2018,3
Chile,2019,7
Chile,2020,8
Chile,2021,10
Chile,2022,11
Chile,2023,10
Chile,2024,16
Côte d'Ivoire,2008,0
Côte d'Ivoire,2009,0
Côte d'Ivoire,2010,0
Côte d'Ivoire,2011,0
Côte d'Ivoire,2014,0
Côte d'Ivoire,2015,0
Côte d'Ivoire,2016,0
Côte d'Ivoire,2017,1
Côte d'Ivoire,2019,1
Côte d'Ivoire,2020,1
Côte d'Ivoire,2021,1
Côte d'Ivoire,2022,0
Côte d'Ivoire,2023,0
Côte d'Ivoire,2024,0
Congo,2003,0
Congo,2004,0
Congo,2013,3
Colombia,2014,23
Colombia,2015,22
Colombia,2016,10
Colombia,2017,10
Colombia,2018,11
Colombia,2019,10
Colombia,2020,5
Colombia,2021,9
Colombia,2022,7
Costa Rica,2004,3
Costa Rica,2008,10
Costa Rica,2017,3
Costa Rica,2018,5
Cuba,2000,1
Cuba,2001,1
Cuba,2002,1
Cuba,2004,0
Cuba,2005,0
Cuba,2006,0
Cuba,2007,0
Cuba,2009,0
Cuba,2010,0
Cuba,2011,0
Cuba,2013,1
Cuba,2014,0
Cuba,2015,0
Cuba,2016,0
Cuba,2017,1
Cuba,2018,1
Cuba,2019,1
Cuba,2020,6
Cuba,2021,1
Cuba,2023,1
Cuba,2024,0
Cyprus,2000,233
Cyprus,2001,208
Cyprus,2002,193
Cyprus,2003,197
Cyprus,2004,216
Cyprus,2005,228
Cyprus,2006,163
Cyprus,2007,183
Cyprus,2008,191
Cyprus,2009,192
Cyprus,2010,199
Cyprus,2011,187
Cyprus,2012,174
Cyprus,2013,134
Cyprus,2014,232
Cyprus,2015,171
Cyprus,2016,157
Cyprus,2017,157
Cyprus,2018,180
Cyprus,2019,156
Cyprus,2020,142
Cyprus,2021,186
Cyprus,2022,152
Cyprus,2023,366
Cyprus,2024,433
Czechia,2000,110
Czechia,2001,160
Czechia,2002,203
Czechia,2003,305
Czechia,2004,407
Czechia,2005,609
Czechia,2006,782
Czechia,2007,1088
Czechia,2008,1405
Czechia,2009,1768
Czechia,2010,2297
Czechia,2011,2588
Czechia,2012,2912
Czechia,2013,3455
Czechia,2014,4379
Czechia,2015,5305
Czechia,2016,5771
Czechia,2017,5979
Czechia,2018,5859
Czechia,2019,4372
Czechia,2020,6407
Czechia,2021,7710
Czechia,2022,8255
Czechia,2023,7781
Germany,2013,9480
Germany,2014,9668
Germany,2015,9953
Germany,2016,9711
Germany,2017,9620
Germany,2018,10121
Germany,2019,9646
Germany,2020,11055
Germany,2021,11149
Germany,2022,11369
Germany,2023,11024
Germany,2024,10974
Denmark,2000,113
Denmark,2001,122
Denmark,2002,187
Denmark,2003,317
Denmark,2004,71
Denmark,2005,74
Denmark,2006,74
Denmark,2007,72
Denmark,2008,56
Denmark,2009,72
Denmark,2010,97
Denmark,2011,93
Denmark,2012,102
Denmark,2013,187
Denmark,2014,186
Denmark,2015,195
Denmark,2016,189
Denmark,2017,156
Denmark,2018,138
Denmark,2019,128
Denmark,2020,120
Denmark,2021,121
Denmark,2022,131
Denmark,2023,126
Denmark,2024,118
Dominican Republic,2012,4
Dominican Republic,2014,3
Dominican Republic,2015,4
Dominican Republic,2016,8
Dominican Republic,2017,7
Dominican Republic,2020,7
Dominican Republic,2021,7
Dominican Republic,2022,4
Dominican Republic,2023,10
Dominican Republic,2024,9
Ecuador,2012,22
Ecuador,2014,11
Ecuador,2015,19
Ecuador,2016,19
Ecuador,2018,16
Ecuador,2019,18
Ecuador,2020,0
Ecuador,2022,0
Ecuador,2023,18
Egypt,2013,231
Egypt,2014,210
Egypt,2016,216
Egypt,2020,211
Egypt,2024,143
Spain,2000,93
Spain,2001,112
Spain,2002,148
Spain,2003,218
Spain,2004,61
Spain,2005,77
Spain,2006,135
Spain,2007,136
Spain,2008,329
Spain,2009,485
Spain,2010,643
Spain,2011,665
Spain,2012,718
Spain,2013,733
Spain,2016,485
Spain,2017,597
Spain,2018,655
Spain,2019,682
Spain,2020,670
Spain,2021,678
Spain,2022,717
Spain,2023,781
Spain,2024,798
Estonia,2000,119
Estonia,2001,48
Estonia,2002,106
Estonia,2003,101
Estonia,2004,99
Estonia,2005,79
Estonia,2006,79
Estonia,2007,93
Estonia,2008,51
Estonia,2009,57
Estonia,2010,0
Estonia,2011,149
Estonia,2012,127
Estonia,2013,168
Estonia,2014,187
Estonia,2015,230
Estonia,2016,255
Estonia,2017,288
Estonia,2018,303
Estonia,2019,396
Estonia,2020,468
Estonia,2021,485
Estonia,2022,541
Estonia,2023,451
Estonia,2024,313
Finland,2000,656
Finland,2001,764
Finland,2002,911
Finland,2003,1079
Finland,2004,1140
Finland,2005,1127
Finland,2007,1182
Finland,2008,1291
Finland,2009,1378
Finland,2010,1595
Finland,2011,1776
Finland,2012,2107
Finland,2013,2206
Finland,2014,2555
Finland,2015,2799
Finland,2016,2799
Finland,2017,2733
Finland,2018,2344
Finland,2019,2017
Finland,2020,1728
Finland,2021,1996
Finland,2022,2039
Finland,2023,2026
Finland,2024,2066
France,2000,1453
France,2001,1658
France,2002,1924
France,2003,2537
France,2004,2597
France,2005,2672
France,2006,3083
France,2007,3219
France,2008,3347
France,2009,3593
France,2010,3822
France,2011,4193
France,2012,4300
France,2013,3643
France,2014,3599
France,2015,3648
France,2016,3555
France,2017,3691
France,2018,2945
France,2019,2785
France,2020,2751
France,2021,2752
France,2022,2685
France,2023,3001
France,2024,3159
United Kingdom,2000,1058
United Kingdom,2001,1370
United Kingdom,2002,1461
United Kingdom,2003,1601
United Kingdom,2004,1878
United Kingdom,2005,2027
United Kingdom,2006,2187
United Kingdom,2007,2580
United Kingdom,2008,2646
United Kingdom,2009,2953
United Kingdom,2010,3159
United Kingdom,2011,3303
United Kingdom,2012,3574
United Kingdom,2013,3604
United Kingdom,2014,3933
United Kingdom,2015,4092
United Kingdom,2016,3974
United Kingdom,2017,3920
United Kingdom,2018,3752
United Kingdom,2019,3640
United Kingdom,2020,3376
United Kingdom,2021,3357
United Kingdom,2022,3331
United Kingdom,2023,3028
Georgia,2000,0
Georgia,2001,0
Georgia,2002,0
Georgia,2003,0
Georgia,2004,3
Georgia,2005,3
Georgia,2006,16
Georgia,2007,28
Georgia,2008,37
Georgia,2009,84
Georgia,2010,77
Georgia,2011,337
Georgia,2012,125
Georgia,2013,167
Georgia,2015,157
Georgia,2016,254
Georgia,2017,248
Georgia,2018,257
Georgia,2019,306
Georgia,2020,312
Georgia,2021,367
Georgia,2022,323
Georgia,2023,460
Ghana,2012,0
Ghana,2013,0
Ghana,2014,0
Ghana,2015,2
Ghana,2016,0
Ghana,2017,1
Ghana,2018,0
Ghana,2019,0
Ghana,2020,0
Ghana,2021,0
Ghana,2022,0
Ghana,2023,1
Ghana,2024,0
Greece,2002,76
Greece,2003,101
Greece,2004,136
Greece,2005,151
Greece,2006,211
Greece,2007,299
Greece,2010,385
Greece,2011,433
Greece,2012,465
Greece,2016,547
Greece,2017,438
Greece,2018,464
Greece,2019,466
Greece,2020,405
Greece,2021,504
Greece,2022,620
Greece,2023,583
Grenada,2009,3
Grenada,2015,5
Grenada,2016,5
Grenada,2017,10
Grenada,2018,10
Guatemala,2019,0
Guatemala,2023,2
Guyana,2010,1
Hong Kong,2001,0
Hong Kong,2002,0
Hong Kong,2003,0
Hong Kong,2004,0
Hong Kong,2005,0
Hong Kong,2006,0
Hong Kong,2007,0
Hong Kong,2008,0
Hong Kong,2009,0
Hong Kong,2010,3
Hong Kong,2011,7
Hong Kong,2012,13
Hong Kong,2013,21
Hong Kong,2014,24
Hong Kong,2015,32
Hong Kong,2016,39
Hong Kong,2017,46
Hong Kong,2018,52
Hong Kong,2019,53
Hong Kong,2020,54
Hong Kong,2021,60
Hong Kong,2022,61
Hong Kong,2023,63
Hong Kong,2024,77
Honduras,2003,0
Honduras,2010,0
Honduras,2012,0
Honduras,2014,0
Honduras,2015,0
Honduras,2016,0
Honduras,2017,0
Honduras,2018,0
Honduras,2019,1
Honduras,2024,0
Croatia,2001,1
Croatia,2002,3
Croatia,2003,1
Croatia,2005,0
Croatia,2006,2
Croatia,2007,0
Croatia,2008,1
Croatia,2009,3
Croatia,2010,1
Croatia,2011,2
Croatia,2012,3
Croatia,2013,1
Croatia,2014,8
Croatia,2015,3
Croatia,2016,7
Croatia,2017,29
Croatia,2018,30
Croatia,2019,40
Croatia,2020,29
Croatia,2021,19
Croatia,2022,28
Croatia,2023,23
Hungary,2001,207
Hungary,2002,217
Hungary,2003,229
Hungary,2004,231
Hungary,2005,212
Hungary,2006,238
Hungary,2007,208
Hungary,2008,204
Hungary,2009,150
Hungary,2010,127
Hungary,2011,110
Hungary,2012,80
Hungary,2013,199
Hungary,2014,173
Hungary,2015,135
Hungary,2016,187
Hungary,2017,277
Hungary,2018,391
Hungary,2019,492
Hungary,2020,552
Hungary,2021,544
Hungary,2022,556
Hungary,2023,562
Hungary,2024,726
Indonesia,2005,0
Indonesia,2006,0
Indonesia,2007,0
Indonesia,2008,0
Indonesia,2015,11
Indonesia,2016,11
Indonesia,2017,11
Indonesia,2018,10
India,2000,10
India,2001,12
India,2002,10
India,2003,7
India,2004,5
India,2005,6
India,2006,6
India,2011,27
India,2012,18
India,2013,32
India,2014,27
India,2015,43
India,2016,29
India,2017,33
India,2018,35
India,2019,43
India,2020,36
India,2021,26
India,2022,23
India,2023,23
Ireland,2000,33
Ireland,2001,55
Ireland,2002,56
Ireland,2003,68
Ireland,2004,80
Ireland,2005,122
Ireland,2006,101
Ireland,2007,70
Ireland,2008,75
Ireland,2009,83
Ireland,2010,31
Ireland,2011,74
Ireland,2012,58
Ireland,2013,59
Ireland,2014,59
Ireland,2015,87
Ireland,2016,89
Ireland,2017,87
Ireland,2018,104
Ireland,2019,106
Ireland,2020,107
Ireland,2021,130
Ireland,2022,145
"Iran, Islamic Republic of",2003,0
"Iran, Islamic Republic of",2004,19
"Iran, Islamic Republic of",2005,4
"Iran, Islamic Republic of",2006,6
"Iran, Islamic Republic of",2007,3
"Iran, Islamic Republic of",2008,2
"Iran, Islamic Republic of",2009,0
"Iran, Islamic Republic of",2010,0
"Iran, Islamic Republic of",2011,15
"Iran, Islamic Republic of",2012,7
"Iran, Islamic Republic of",2013,12
"Iran, Islamic Republic of",2014,4
"Iran, Islamic Republic of",2015,2
"Iran, Islamic Republic of",2016,6
"Iran, Islamic Republic of",2017,9
"Iran, Islamic Republic of",2018,14
"Iran, Islamic Republic of",2019,26
"Iran, Islamic Republic of",2020,42
"Iran, Islamic Republic of",2021,78
"Iran, Islamic Republic of",2022,93
Iceland,2000,10
Iceland,2001,12
Iceland,2002,11
Iceland,2003,21
Iceland,2004,30
Iceland,2006,20
Iceland,2007,25
Iceland,2008,20
Iceland,2009,19
Iceland,2010,12
Iceland,2011,19
Iceland,2012,30
Iceland,2013,27
Iceland,2014,43
Iceland,2016,37
Iceland,2017,27
Iceland,2018,34
Iceland,2019,36
Iceland,2020,48
Iceland,2021,45
Iceland,2022,42
Iceland,2023,44
Israel,2010,21
Israel,2011,35
Israel,2012,27
Israel,2013,867
Israel,2014,750
Italy,2000,118
Italy,2001,200
Italy,2002,237
Italy,2003,369
Italy,2004,512
Italy,2005,600
Italy,2006,793
Italy,2007,930
Italy,2008,949
Italy,2009,1144
Italy,2010,1132
Italy,2011,1515
Italy,2012,1737
Italy,2013,2103
Italy,2014,2019
Italy,2015,2178
Italy,2016,2210
Italy,2017,2303
Italy,2018,2493
Italy,2019,1052
Italy,2020,1554
Italy,2021,1908
Italy,2022,2489
Italy,2023,3047
Jordan,2000,39
Jordan,2003,42
Jordan,2004,39
Jordan,2005,50
Jordan,2006,62
Jordan,2007,37
Jordan,2008,0
Jordan,2009,0
Jordan,2010,36
Jordan,2011,0
Jordan,2012,37
Jordan,2015,55
Jordan,2016,81
Jordan,2017,61
Jordan,2018,71
Jordan,2019,64
Jordan,2020,81
Jordan,2021,100
Jordan,2022,85
Jordan,2023,85
Jordan,2024,72
Japan,2013,332
Japan,2014,336
Japan,2015,359
Japan,2016,398
Japan,2017,463
Japan,2018,489
Japan,2019,521
Japan,2020,514
Japan,2021,457
Japan,2022,483
Japan,2023,591
Kazakhstan,2000,728
Kazakhstan,2001,866
Kazakhstan,2003,1659
Kazakhstan,2004,2177
Kazakhstan,2005,2516
Kazakhstan,2006,2880
Kazakhstan,2007,2857
Kazakhstan,2008,1914
Kazakhstan,2009,2074
Kazakhstan,2010,3600
Kazakhstan,2011,3373
Kazakhstan,2012,1993
Kazakhstan,2013,1315
Kazakhstan,2014,1202
Kazakhstan,2015,1270
Kazakhstan,2016,1097
Kazakhstan,2017,1136
Kazakhstan,2018,1234
Kazakhstan,2019,1511
Kazakhstan,2020,1487
Kazakhstan,2024,2123
Kyrgyzstan,2001,814
Kyrgyzstan,2002,245
Kyrgyzstan,2003,371
Kyrgyzstan,2004,277
Kyrgyzstan,2005,362
Kyrgyzstan,2006,356
Kyrgyzstan,2007,399
Kyrgyzstan,2008,649
Kyrgyzstan,2009,748
Kyrgyzstan,2010,842
Kyrgyzstan,2011,818
Kyrgyzstan,2012,847
Kyrgyzstan,2013,927
Kyrgyzstan,2014,1302
Kyrgyzstan,2015,1377
Kyrgyzstan,2016,1186
Kyrgyzstan,2017,910
Kyrgyzstan,2018,1535
Kyrgyzstan,2019,1622
Kyrgyzstan,2020,1844
Kyrgyzstan,2021,2005
Kyrgyzstan,2022,1672
Kyrgyzstan,2023,2474
Kyrgyzstan,2024,2623
"Korea, Republic of",2000,77
"Korea, Republic of",2001,65
"Korea, Republic of",2002,100
"Korea, Republic of",2003,153
"Korea, Republic of",2004,166
"Korea, Republic of",2005,185
"Korea, Republic of",2006,254
"Korea, Republic of",2007,243
"Korea, Republic of",2008,248
"Korea, Republic of",2009,252
"Korea, Republic of",2010,346
"Korea, Republic of",2011,340
"Korea, Republic of",2012,330
"Korea, Republic of",2013,314
"Korea, Republic of",2014,320
"Korea, Republic of",2015,349
"Korea, Republic of",2016,420
"Korea, Republic of",2017,443
"Korea, Republic of",2018,473
"Korea, Republic of",2019,481
"Korea, Republic of",2020,505
"Korea, Republic of",2021,614
"Korea, Republic of",2022,787
"Korea, Republic of",2023,1015
"Korea, Republic of",2024,1351
Kuwait,2008,5
Kuwait,2009,2
Lao People's Democratic Republic,2001,0
Lao People's Democratic Republic,2002,0
Lao People's Democratic Republic,2003,0
Lao People's Democratic Republic,2004,0
Lao People's Democratic Republic,2005,0
Lao People's Democratic Republic,2006,0
Lao People's Democratic Republic,2007,0
Lao People's Democratic Republic,2008,0
Lao People's Democratic Republic,2009,1
Lao People's Democratic Republic,2010,1
Lao People's Democratic Republic,2011,1
Lao People's Democratic Republic,2012,2
Lao People's Democratic Republic,2013,0
Lao People's Democratic Republic,2014,1
Lao People's Democratic Republic,2015,0
Lao People's Democratic Republic,2016,0
Lao People's Democratic Republic,2017,1
Lao People's Democratic Republic,2018,0
Lao People's Democratic Republic,2019,0
Lao People's Democratic Republic,2020,0
Liechtenstein,2004,3
Liechtenstein,2006,1
Liechtenstein,2007,0
Liechtenstein,2008,1
Liechtenstein,2009,1
Liechtenstein,2010,1
Liechtenstein,2011,0
Liechtenstein,2012,3
Liechtenstein,2014,7
Liechtenstein,2015,4
Liechtenstein,2016,3
Liechtenstein,2017,6
Liechtenstein,2018,5
Liechtenstein,2019,6
Liechtenstein,2020,4
Liechtenstein,2021,3
Sri Lanka,2013,0
Sri Lanka,2014,0
Sri Lanka,2015,0
Sri Lanka,2016,0
Sri Lanka,2017,0
Sri Lanka,2018,0
Sri Lanka,2019,1
Sri Lanka,2020,0
Sri Lanka,2021,0
Sri Lanka,2022,0
Sri Lanka,2023,0
Lithuania,2000,41
Lithuania,2001,34
Lithuania,2002,35
Lithuania,2003,37
Lithuania,2004,28
Lithuania,2005,32
Lithuania,2006,31
Lithuania,2007,41
Lithuania,2008,42
Lithuania,2009,48
Lithuania,2010,60
Lithuania,2011,76
Lithuania,2012,135
Lithuania,2013,236
Lithuania,2014,229
Lithuania,2015,182
Lithuania,2016,160
Lithuania,2017,191
Lithuania,2018,179
Lithuania,2019,0
Lithuania,2020,176
Lithuania,2021,265
Lithuania,2022,317
Lithuania,2023,375
Lithuania,2024,393
Luxembourg,2006,7
Luxembourg,2008,19
Luxembourg,2010,26
Luxembourg,2012,6
Luxembourg,2013,36
Luxembourg,2014,45
Luxembourg,2015,55
Luxembourg,2016,49
Luxembourg,2017,45
Luxembourg,2018,57
Luxembourg,2019,58
Luxembourg,2020,56
Luxembourg,2021,57
Luxembourg,2022,58
Luxembourg,2023,77
Luxembourg,2024,87
Latvia,2000,430
Latvia,2001,189
Latvia,2002,394
Latvia,2003,330
Latvia,2004,276
Latvia,2005,323
Latvia,2007,382
Latvia,2008,382
Latvia,2009,397
Latvia,2010,360
Latvia,2011,361
Latvia,2012,357
Latvia,2013,387
Latvia,2014,482
Latvia,2015,509
Latvia,2016,571
Latvia,2017,516
Latvia,2018,515
Latvia,2019,538
Latvia,2020,548
Latvia,2021,531
Latvia,2022,477
Latvia,2023,364
Latvia,2024,334
Macao,2003,0
Macao,2004,1
Macao,2005,0
Macao,2006,1
Macao,2007,1
Macao,2008,1
Macao,2009,2
Macao,2010,3
Macao,2011,9
Macao,2012,9
Macao,2013,7
Macao,2014,5
Macao,2015,7
Macao,2016,8
Macao,2017,4
Macao,2018,2
Macao,2019,2
Macao,2020,3
Macao,2021,2
Macao,2022,2
Macao,2023,1
Macao,2024,5
Morocco,2003,0
Morocco,2004,0
Morocco,2005,0
Morocco,2006,0
Morocco,2007,3
Morocco,2008,6
Morocco,2009,3
Morocco,2010,1
Morocco,2013,2
Morocco,2014,2
Morocco,2015,5
Morocco,2016,11
Morocco,2017,5
Morocco,2018,11
Morocco,2019,15
Morocco,2020,10
Morocco,2021,10
Morocco,2022,9
Morocco,2023,9
Morocco,2024,8
Monaco,2017,0
Monaco,2020,12
Monaco,2021,12
Monaco,2022,10
Monaco,2023,10
Monaco,2024,13
"Moldova, Republic of",2001,43
"Moldova, Republic of",2002,60
"Moldova, Republic of",2003,71
"Moldova, Republic of",2004,137
"Moldova, Republic of",2005,0
"Moldova, Republic of",2006,174
"Moldova, Republic of",2007,181
"Moldova, Republic of",2008,168
"Moldova, Republic of",2009,141
"Moldova, Republic of",2010,141
"Moldova, Republic of",2011,118
"Moldova, Republic of",2012,113
"Moldova, Republic of",2013,103
"Moldova, Republic of",2014,83
"Moldova, Republic of",2015,74
"Moldova, Republic of",2016,70
"Moldova, Republic of",2017,54
"Moldova, Republic of",2018,58
"Moldova, Republic of",2019,59
"Moldova, Republic of",2020,53
"Moldova, Republic of",2021,60
"Moldova, Republic of",2022,81
"Moldova, Republic of",2023,112
"Moldova, Republic of",2024,125
North Macedonia,2000,0
North Macedonia,2001,1
North Macedonia,2002,0
North Macedonia,2003,0
North Macedonia,2004,0
North Macedonia,2005,0
North Macedonia,2006,1
North Macedonia,2007,1
North Macedonia,2008,1
North Macedonia,2009,0
North Macedonia,2011,0
North Macedonia,2012,1
North Macedonia,2013,1
North Macedonia,2014,0
North Macedonia,2015,1
North Macedonia,2017,5
North Macedonia,2018,1
North Macedonia,2019,3
North Macedonia,2020,0
North Macedonia,2021,0
North Macedonia,2022,0
North Macedonia,2023,0
Malta,2000,1
Malta,2001,54
Malta,2002,39
Malta,2003,57
Malta,2004,45
Malta,2005,0
Malta,2006,42
Malta,2008,35
Malta,2009,38
Malta,2011,25
Malta,2012,29
Malta,2013,34
Malta,2014,40
Malta,2015,34
Malta,2016,33
Malta,2017,32
Malta,2018,29
Malta,2019,30
Malta,2020,28
Malta,2021,26
Malta,2022,32
Malta,2023,40
Mongolia,2000,94
Mongolia,2001,87
Mongolia,2003,47
Mongolia,2004,162
Mongolia,2005,429
Mongolia,2006,623
Mongolia,2007,553
Mongolia,2008,519
Mongolia,2009,454
Mongolia,2010,411
Mongolia,2011,395
Mongolia,2012,372
Mongolia,2013,287
Mongolia,2014,250
Mongolia,2015,254
Mongolia,2016,206
Mongolia,2017,182
Mongolia,2018,180
Mongolia,2019,236
Mongolia,2022,183
Mongolia,2023,278
Mongolia,2024,310
Mozambique,2011,0
Mozambique,2013,2
Mozambique,2014,4
Mozambique,2016,4
Mozambique,2017,0
Mozambique,2018,2
Mauritius,2004,0
Mauritius,2006,0
Mauritius,2010,0
Mauritius,2011,1
Mauritius,2012,1
Mauritius,2013,2
Mauritius,2014,1
Mauritius,2015,1
Mauritius,2016,2
Mauritius,2017,1
Mauritius,2020,0
